Date,Close/Last,Volume,Open,High,Low
09/05/2024,69.89,3482551,70.73,71.53,69.51
09/04/2024,69.61,4701375,70.62,71.4995,69.5531
09/03/2024,71.09,4967787,72.15,72.15,70.85
08/30/2024,74.34,3341403,75.19,75.22,74.12
08/29/2024,76.77,4061981,76.77,77.65,76.10
08/28/2024,75.48,1852485,75.40,76.23,74.80
08/27/2024,76.49,3537466,77.39,77.60,76.14
08/26/2024,77.83,4196836,78.07,78.32,77.62
08/23/2024,75.55,3008631,74.99,75.76,74.87
08/22/2024,73.58,3170333,72.83,74.17,72.71
08/21/2024,72.60,2769786,74.32,74.81,72.11
08/20/2024,73.83,2761744,74.74,75.02,73.68
08/19/2024,74.38,4881178,76.25,76.38,74.09
08/16/2024,76.32,2475999,76.23,76.65,75.69
08/15/2024,77.41,1640527,77.29,78.00,77.15
08/14/2024,76.59,1721743,77.60,77.75,76.30
08/13/2024,77.64,2300791,78.38,78.46,77.31
08/12/2024,78.63,4745020,77.19,79.17,76.93
08/09/2024,76.22,2923566,75.67,76.35,75.25
08/08/2024,75.36,3034288,74.53,75.7996,74.44
08/07/2024,74.69,4943996,73.94,75.17,73.69
08/06/2024,72.45,3377897,71.77,73.39,71.73
08/05/2024,73.22,3939476,71.94,73.26,71.83
08/02/2024,73.39,5001256,73.81,73.82,72.43
08/01/2024,76.29,3633457,77.79,77.85,75.64
07/31/2024,77.74,4582761,76.33,77.91,75.90
07/30/2024,74.46,3304616,74.45,74.77,74.00
07/29/2024,75.19,1955426,76.73,76.99,74.74
07/26/2024,76.11,2125111,76.82,76.94,75.55
07/25/2024,77.46,1824043,76.17,77.78,75.54
07/24/2024,76.81,2129232,76.87,77.48,76.30
07/23/2024,76.62,3124053,76.96,77.13,75.72
07/22/2024,77.62,1556643,77.17,77.75,76.86
07/19/2024,78.00,2636016,79.51,80.22,77.86
07/18/2024,79.90,1425543,80.59,81.09,79.84
07/17/2024,80.62,2459321,80.00,80.71,79.95
07/16/2024,79.06,2012427,78.68,79.41,78.68
07/15/2024,80.12,2206681,80.26,80.38,79.57
07/12/2024,80.25,3004028,81.25,81.32,80.115
07/11/2024,80.94,3002748,79.93,80.99,79.73
07/10/2024,80.48,2291913,79.42,80.6916,79.18
07/09/2024,79.77,1919038,80.12,80.65,79.46
07/08/2024,80.42,2029643,80.591,81.02,80.29
07/05/2024,81.31,1979724,82.011,82.60,81.23
07/03/2024,81.27,734654,80.95,81.60,80.5723
07/02/2024,81.11,1182549,81.98,82.02,80.83
07/01/2024,81.54,2272780,80.21,81.69,79.82
06/28/2024,79.59,1359774,80.03,80.04,79.08
06/27/2024,79.92,1785656,79.70,80.03,79.225
06/26/2024,78.75,1581934,78.94,79.55,78.27
06/25/2024,78.90,1272285,79.47,79.835,78.75
06/24/2024,79.70,1402400,78.52,79.80,78.49
06/21/2024,78.65,1538762,79.44,79.785,78.4003
06/20/2024,79.41,1446534,79.28,79.53,78.85
06/18/2024,78.67,1757267,77.88,78.83,77.76
06/17/2024,77.79,2589760,76.656,77.9799,76.55
06/14/2024,76.08,2347094,76.62,76.78,75.84
06/13/2024,75.74,1685382,76.31,76.52,75.69
06/12/2024,75.98,2465252,76.83,76.92,75.57
06/11/2024,75.51,1891692,75.34,75.99,74.91
06/10/2024,75.46,4022868,73.78,75.55,73.56
06/07/2024,73.02,2049466,73.56,73.92,72.96
06/06/2024,73.26,1933259,72.12,73.47,71.96
06/05/2024,71.89,2058470,71.40,71.98,70.76
06/04/2024,71.09,2421065,70.96,71.45,70.445
06/03/2024,71.83,5763764,73.93,73.93,71.76
05/31/2024,74.82,2038251,75.63,75.84,74.33
05/30/2024,75.53,2339497,76.05,76.72,75.25
05/29/2024,76.57,1619045,77.66,77.67,76.56
